,Brands,Model,BEE_Rating,Tons,Reviews_Count,Ratings_Count,Cust_Review,Original_Price,Current_Price,Room_Size,Annual_Power_Usage,Discount,Discount_Band
40,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03,29.6,B
41,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
42,LG,LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Plasmaster (Ionizer) 4 Way S...,5.0,1.5,1189,10479,4.2,81990,44490,111 - 150,685.26,45.7,D
43,CARRIER,CARRIER 4-in-1 Flexicool 2023 Model 1.5 Ton 3 Star Split Inverter with Anti-Viral Guard & Smart Energy...,3.0,1.5,82,588,4.0,72290,34999,111 - 150,1046.3,51.6,D
44,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - W...,3.0,1.5,14,176,4.2,62390,37999,111 - 150,977.8,39.1,C
45,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48,42.6,C
46,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84,42.5,C
47,Blue,Blue Star 1.5 Ton 4 Star Split Inverter AC  - White,4.0,1.5,1521,13889,4.2,69500,40990,111 - 150,2070.0,41.0,C
48,LG,LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Plasmaster (Ionizer) 4 Way S...,5.0,1.5,1189,10479,4.2,81990,44490,111 - 150,685.26,45.7,D
49,ONIDA,ONIDA 2023 Model 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,939,7988,4.3,40900,27990,90,696.69,31.6,C
50,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,32990,111 - 150,883.14,34.0,C
51,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
52,CARRIER,CARRIER 4-in-1 Flexicool 2023 Model 1.5 Ton 3 Star Split Inverter with Anti-Viral Guard & Smart Energy...,3.0,1.5,82,588,4.0,72290,34999,111 - 150,1046.3,51.6,D
53,CANDY,CANDY 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,118,713,4.0,71000,31999,111 - 150,735.72,54.9,D
54,Daikin,Daikin 2023 Model 0.8 Ton 3 Star Split AC with PM 2.5 Filter  - White,3.0,0.8,182,1862,4.1,37400,25999,90,548.84,30.5,C
55,Voltas,Voltas 2023 Model 2 Ton 3 Star Split Inverter AC  - White,3.0,2.0,1713,19291,4.2,79990,44999,151 - 200,1220.59,43.7,C
56,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,28990,90,694.03,32.4,C
57,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
58,Haier,"Haier Frost Self-Clean 2023 Model 1.3 Ton 3 Star Split Inverter Cooling at Extreme Temperature, Super ...",3.0,1.3,292,2371,4.0,60490,29999,111 - 150,804.22,50.4,D
59,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48,42.6,C
60,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48900,32990,90,524.03,32.5,C
61,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6,32.5,C
62,Panasonic,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 4 Star Split Inverter wi...,4.0,1.0,2330,19830,4.3,50600,33990,90,601.5,32.8,C
63,CANDY,CANDY 2023 Model 1.5 Ton 4 Star Split Inverter AC  - White,4.0,1.5,118,713,4.0,67000,28999,111 - 150,881.3,56.7,D
64,Panasonic,Panasonic Convertible 7-in-1 with Additional AI Mode Hot & Cold 2023 Model 1.5 Ton 3 Star Split Invert...,3.0,1.5,50,426,4.1,61400,41490,111 - 150,972.89,32.4,C
65,CARRIER,CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White,3.0,0.8,1033,10378,4.1,55690,26999,90,526.03,51.5,D
66,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,36990,111 - 150,744.39,32.6,C
67,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
68,Voltas,Voltas 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,244,2635,4.1,75990,40110,111 - 150,759.07,47.2,D
69,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - W...,5.0,1.5,201,2298,4.0,73990,43999,111 - 150,749.48,40.5,C
70,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84,42.5,C
71,Blue,Blue Star 1.5 Ton 4 Star Split Inverter AC  - White,4.0,1.5,1521,13889,4.2,69500,40990,111 - 150,2070.0,41.0,C
72,Haier,"Haier Frost Self-Clean 2023 Model 1 Ton 3 Star Split Inverter Intelli Convertible 7-in-1, Triple Inver...",3.0,1.0,0,10,3.7,60490,34990,90,694.49,42.2,C
73,Voltas,Voltas 1 Ton 3 Star Window AC  - White,3.0,1.0,11,123,4.1,35990,26349,90,774.11,26.8,B
74,Daikin,Daikin 1 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,5.0,1.0,1,4,4.0,67200,46740,90,418.52,30.4,C
75,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14,0.0,A
76,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
77,CARRIER,CARRIER 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,19,255,4.2,69990,33749,111 - 150,964.1,51.8,D
78,Voltas,Voltas 2023 Model 2 Ton 5 Star Split Inverter AC  - White,5.0,2.0,1713,19291,4.2,93990,53999,151 - 200,959.19,42.5,C
79,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03,0.0,A
80,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39,0.0,A
81,Whirlpool,Whirlpool Convertible 4-in-1 Cooling 2023 Model 1 Ton 5 Star Split Inverter 6th Sense Technology AC  -...,5.0,1.0,558,6468,4.0,64200,64190,90,515.27,0.0,A
82,SAMSUNG,SAMSUNG 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,5.0,1.5,61,499,4.2,67990,38999,111 - 150,832.8,42.6,C
83,ONIDA,ONIDA 2023 Model 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,939,7988,4.3,40990,28900,90,696.69,29.5,B
84,Daikin,Daikin 2023 Model 1 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,3.0,1.0,354,3683,4.2,48200,48100,90,680.4,0.2,A
85,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
86,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6,32.5,C
87,Lloyd,Lloyd 2023 Model 2 Ton 5 Star Split Inverter AC  - White,5.0,2.0,878,5312,4.2,86900,57990,151 - 200,970.29,33.3,C
88,realme,"realme TechLife 4-in-1 Convertible 1.5 Ton 4 Star Split Inverter , AC  - White",4.0,1.5,310,2033,4.1,52999,30999,111 - 150,968.61,41.5,C
89,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03,29.6,B
90,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
91,MarQ,MarQ by Flipkart Convertible 4-in-1 Cooling 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,433,3371,4.0,51999,28999,111 - 150,1056.45,44.2,C
92,MarQ,MarQ by Flipkart 2023 Range 1.5 Ton 4 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,4.0,1.5,299,2438,4.3,53999,29990,111 - 150,1365.0,44.5,C
93,Voltas,Voltas 0.75 Ton 3 Star Split AC  - White,3.0,0.75,235,2825,4.1,48990,24999,90,727.66,49.0,D
94,Lloyd,Lloyd 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,878,5312,4.2,59990,58999,111 - 150,999.49,1.7,A
95,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,32990,111 - 150,883.14,34.0,C
