,Brands,Model,BEE_Rating,Tons,Reviews_Count,Ratings_Count,Cust_Review,Original_Price,Current_Price,Room_Size,Annual_Power_Usage,Discount,Discount_Band
154,IFB,IFB 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,2,20,4.0,57640,40999,111 - 150,867.16,28.9,B
155,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
156,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6,32.5,C
157,Haier,"Haier Turbo Cool Plus 2023 Model 1 Ton 2 Star Split Extreme Temperature Cooling,Micro Antibacterial Fi...",2.0,1.0,0,20,3.9,52490,30500,90,752.43,41.9,C
158,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03,29.6,B
159,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
160,Whirlpool,"Whirlpool 2023 Model 1 Ton 3 Star Split AC  - White, Grey",3.0,1.0,896,8161,4.1,38000,26999,90,980.0,29.0,B
161,Haier,"Haier Frost Self-Clean 2023 Model 1.3 Ton 3 Star Split Inverter Cooling at Extreme Temperature, Super ...",3.0,1.3,292,2371,4.0,63999,60999,111 - 150,804.22,4.7,A
162,Lloyd,Lloyd 2 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,5.0,2.0,0,6,3.8,79990,55999,151 - 200,1070.16,30.0,B
163,Lloyd,Lloyd 1 Ton 5 Star Split Inverter AC  - White,5.0,1.0,0,7,3.7,58000,36999,90,574.71,36.2,C
164,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84,42.5,C
165,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48,42.6,C
166,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14,0.0,A
167,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
168,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,38500,90,521.6,7.2,A
169,Haier,Haier 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,292,2371,4.0,65990,33990,111 - 150,1089.14,48.5,D
170,Blue,Blue Star 2023 Model 1 Ton Portable Turbo AC  - White,3.0,1.0,1,4,2.8,39000,33990,90,744.16,12.8,A
171,Hitachi,"Hitachi 1 Ton 5 Star Split Inverter AC  - White, Gold",5.0,1.0,217,2406,4.0,54600,37599,90,523.15,31.1,C
172,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03,0.0,A
173,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39,0.0,A
174,Voltas,Voltas 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,427,4828,4.2,75990,41399,111 - 150,750.39,45.5,D
175,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,313,3616,4.1,55990,53990,90,624.48,3.6,A
176,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
177,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03,29.6,B
178,LG,"LG 1 Ton 3 Star Split Dual Inverter AC  - White, Maroon",3.0,1.0,35,237,4.3,47990,34275,90,685.49,28.6,B
179,LG,LG 2023 Model 2 Ton 4 Star Window Inverter AC with Wi-fi Connect  - White,4.0,2.0,479,4346,4.2,75990,50990,151 - 200,1384.94,32.9,C
180,MarQ,MarQ by Flipkart Convertible 4-in-1 Cooling 0.8 Ton 3 Star Split Inverter AC  - White,3.0,0.8,91,688,4.0,45499,28888,90,820.0,36.5,C
181,Godrej,Godrej Turbo Mode 2023 Model 1.5 Ton 3 Star Window with Anti Corrosive Blue Fin AC  - White,3.0,1.5,30,334,4.0,41900,41900,111 - 150,1216.12,0.0,A
182,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
183,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84,42.5,C
184,Haier,"Haier Heavy Duty 2023 Model 2 Ton 3 Star Split Inverter Frost Self Clean, Triple Inverter Plus Technol...",3.0,2.0,292,2371,4.0,88990,52990,151 - 200,1276.55,40.5,C
185,Hitachi,Hitachi 2023 Model 1.5 Ton 5 Star Window Inverter AC  - White,5.0,1.5,0,10,3.5,48590,39449,111 - 150,1068.21,18.8,B
186,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48,42.6,C
187,Blue,Blue Star 1.5 Ton 4 Star Split Inverter AC  - White,4.0,1.5,1521,13889,4.2,69500,40990,111 - 150,2070.0,41.0,C
188,Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,13,135,4.0,62990,33549,111 - 150,998.42,46.7,D
189,Blue,"Blue Star 1.5 Ton 5 Star Split Inverter AC  - White, Brown",5.0,1.5,39,230,4.4,63000,47003,111 - 150,1450.0,25.4,B
190,MarQ,MarQ by Flipkart 1.5 Ton 3 Star Split AC  - White,3.0,1.5,1379,10559,4.2,44999,20999,111 - 150,1093.4,53.3,D
191,MarQ,MarQ by Flipkart 1 Ton 3 Star Split AC  - White,3.0,1.0,1379,10559,4.2,36999,17999,90,741.59,51.4,D
192,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14,0.0,A
193,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
194,Lloyd,Lloyd 2023 Model 1.2 Ton 5 Star Split Inverter AC  - White,5.0,1.2,878,5312,4.2,62990,62890,91 - 110,635.62,0.2,A
195,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - W...,5.0,1.5,201,2298,4.0,78990,76990,111 - 150,749.48,2.5,A
196,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03,0.0,A
197,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39,0.0,A
198,Daikin,Daikin 1 Ton 3 Star Split AC with PM 2.5 Filter  - White,3.0,1.0,182,1862,4.1,46000,32990,90,656.44,28.3,B
199,Blue,Blue Star 2 Ton 3 Star Split Inverter AC  - White,3.0,2.0,2,11,4.0,72000,49999,151 - 200,1261.37,30.6,C
200,Voltas,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,0,12,2.9,77990,39990,111 - 150,759.07,48.7,D
201,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
202,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6,32.5,C
203,SAMSUNG,SAMSUNG 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,0,10,4.2,69999,69999,111 - 150,977.8,0.0,A
204,LG,LG 1.5 Ton 5 Star Split Dual Inverter AC with Wi-fi Connect  - White,5.0,1.5,14,102,4.2,77990,46990,111 - 150,818.81,39.7,C
205,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
206,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03,29.6,B
207,Hitachi,Hitachi 1.5 Ton 3 Star Split Inverter Hot and Cold AC  - White,3.0,1.5,0,3,4.3,63300,44999,111 - 150,1040.2,28.9,B
208,Voltas,Voltas 1 Ton 5 Star Split Inverter AC  - White,5.0,1.0,11,97,3.7,63990,35140,90,542.35,45.1,D
209,SAMSUNG,SAMSUNG 2 Ton 4 Star Split Inverter AC  - White,4.0,2.0,0,6,3.2,77990,56990,151 - 200,880.0,26.9,B
210,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14,0.0,A
211,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
212,Lloyd,Lloyd 2023 Model 1.5 Ton 5 Star Window AC  - White,5.0,1.5,4,26,4.3,54990,34299,111 - 150,1072.14,37.6,C
213,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03,0.0,A
214,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39,0.0,A
215,CARRIER,CARRIER 2023 Model HD Filteration 1.5 Ton 3 Star Split AI Flexicool Inverter With Auto Cleanser AC  - ...,3.0,1.5,24,121,4.2,69990,38999,111 - 150,1575.0,44.3,C
216,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter Wind Free AC with Wi-fi Conn...,3.0,1.0,81,804,4.2,58990,56990,90,624.48,3.4,A
217,Daikin,Daikin 1.5 Ton 3 Star Window AC  - White,3.0,1.5,27,229,4.2,35000,30999,111 - 150,1265.0,11.4,A
218,Lloyd,Lloyd 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,5.0,1.0,2,66,4.2,58990,57990,90,533.89,1.7,A
219,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
220,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6,32.5,C
221,Haier,"Haier UVC Sterilization 2023 Model 1.6 Ton 5 Star Split Inverter Frost Self-clean technology, Superson...",5.0,1.6,0,7,4.1,79990,52499,151 - 200,828.37,34.4,C
222,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.2 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.2,1521,13889,4.2,57500,54500,91 - 110,865.48,5.2,A
223,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03,29.6,B
224,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
225,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - W...,3.0,1.5,201,2298,4.0,66990,64990,111 - 150,977.8,3.0,A
226,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,313,3616,4.1,77990,75990,111 - 150,749.48,2.6,A
227,Lloyd,Lloyd 2023 Model 1.5 Ton 2 Star Split AC  - White,2.0,1.5,20,160,4.1,59990,59890,111 - 150,1114.71,0.2,A
228,Daikin,Daikin 1 Ton 5 Star Split Inverter AC  - White,5.0,1.0,2,30,3.8,55500,38500,90,523.54,30.6,C
229,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84,42.5,C
230,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48,42.6,C
231,Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 1 Ton 3 Star Split Inverter Xpandable plus Ambience...,3.0,1.0,4,60,3.8,55050,55050,90,669.16,0.0,A
232,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,32990,111 - 150,883.14,34.0,C
233,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
234,MarQ,MarQ by Flipkart 1 Ton 3 Star Split AC  - White,3.0,1.0,1379,10559,4.2,36999,17999,90,741.59,51.4,D
235,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter i-sense Technology with Blu...,3.0,1.5,403,4378,4.1,46900,30990,111 - 150,980.37,33.9,C
236,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,28990,90,694.03,32.4,C
237,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
238,MarQ,MarQ by Flipkart 1.5 Ton 3 Star Split AC  - White,3.0,1.5,1379,10559,4.2,44999,20999,111 - 150,1093.4,53.3,D
239,Blue,Blue Star 2 Ton 3 Star Split Inverter AC  - White,3.0,2.0,2,11,4.0,72000,49999,151 - 200,1261.37,30.6,C
240,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48900,32990,90,524.03,32.5,C
241,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6,32.5,C
242,Lloyd,Lloyd 2023 Model 1 Ton 3 Star Split AC  - White,3.0,1.0,5,45,4.1,49990,30799,90,709.86,38.4,C
243,realme,realme TechLife 4-in-1 Convertible 2023 Range with Flexi-Control Technology 1.2 Ton 4 Star Split Inver...,4.0,1.2,416,2835,4.2,52999,52999,91 - 110,1230.0,0.0,A
244,Daikin,Daikin 2.02 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,3.0,2.02,0,11,4.7,86800,59990,151 - 200,1372.85,30.9,C
245,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 0.9 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,0.9,1521,13889,4.2,45000,30999,90,644.46,31.1,C
246,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,36990,111 - 150,744.39,32.6,C
247,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
248,LG,"LG Super Convertible 5-in-1 Cooling, 2023 Model 1.2 Ton 3 Star Split Inverter HD Filter with Anti-Viru...",3.0,1.2,2889,28367,4.2,68990,33999,91 - 110,849.1,50.7,D
249,LG,LG 1.5 Ton 5 Star Window Smart AC with Wi-fi Connect  - White,5.0,1.5,479,4346,4.2,48990,37999,111 - 150,1106.26,22.4,B
250,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84,42.5,C
251,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48,42.6,C
252,Whirlpool,Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,1,22,4.2,45000,32409,111 - 150,0.0,28.0,B
253,Voltas,Voltas 2 in 1 Convertible Cooling 1.2 Ton 3 Star Split Inverter Expandable AC  - White,3.0,1.2,1713,19291,4.2,54990,26366,91 - 110,1700.0,52.1,D
254,MarQ,MarQ by Flipkart 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,1946,13805,4.3,39999,26499,90,725.03,33.8,C
255,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,32990,111 - 150,883.14,34.0,C
256,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
257,CARRIER,CARRIER Convertible 4-in-1 Cooling 2023 Model 1 Ton 3 Star Split AI Flexicool Inverter Dual Filtration...,3.0,1.0,1033,10378,4.1,56990,30999,90,704.46,45.6,D
258,SAMSUNG,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,2385,24309,4.2,57990,37999,111 - 150,1435.0,34.5,C
259,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,28990,90,694.03,32.4,C
260,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
261,Panasonic,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,146,1122,4.2,53900,35489,111 - 150,743.96,34.2,C
262,Panasonic,Panasonic 1.5 Ton 5 Star Window Inverter AC  - White,5.0,1.5,0,6,3.7,49900,37590,111 - 150,1086.41,24.7,B
263,Haier,"Haier UVC Sterilization 2023 Model 1.6 Ton 5 Star Split Inverter Frost Self-clean technology, Superson...",5.0,1.6,0,7,4.1,79990,52499,151 - 200,828.37,34.4,C
264,realme,realme TechLife 2023 Model 1.5 Ton 5 Star Split Inverter Smart AC with Wi-fi Connect  - White,5.0,1.5,28,164,4.4,65999,65999,111 - 150,770.08,0.0,A
265,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48900,32990,90,524.03,32.5,C
266,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6,32.5,C
267,Hitachi,Hitachi 1.5 Ton 3 Star Split Inverter Hot and Cold AC  - White,3.0,1.5,0,3,4.3,63300,44999,111 - 150,1040.2,28.9,B
268,Godrej,Godrej 4-Way Air Swing 1.5 Ton 3 Star Split with Anti-Dust Filter AC  - White,3.0,1.5,19,163,4.2,47990,32478,111 - 150,1045.04,32.3,C
269,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,36990,111 - 150,744.39,32.6,C
270,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
271,Hitachi,Hitachi 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,4,19,3.4,48200,29299,90,688.96,39.2,C
272,LG,"LG AI Convertible 6-in-1 Cooling 2023 Model 2 Ton 3 Star Split Inverter 4 Way Swing, HD Filter with An...",3.0,2.0,2889,28367,4.2,85990,52999,151 - 200,1232.78,38.4,C
273,MarQ,MarQ by Flipkart 1.5 Ton 5 Star Split Dual Inverter Smart AC with Wi-fi Connect  - White,5.0,1.5,39,335,4.4,56999,31415,111 - 150,1118.0,44.9,C
274,LG,LG 2023 Model 1.5 Ton 3 Star Window Inverter AC with Wi-fi Connect  - White,3.0,1.5,479,4346,4.2,65990,34999,111 - 150,1115.04,47.0,D
275,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84,42.5,C
276,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48,42.6,C
277,Panasonic,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,5.0,1.5,78,638,4.1,76900,52490,111 - 150,774.19,31.7,C
278,Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,1,19,3.9,67990,36990,111 - 150,1017.95,45.6,D
279,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14,0.0,A
280,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
281,Hitachi,Hitachi 1.5 Ton 5 Star Window AC  - White,5.0,1.5,457,4311,4.1,34790,34790,111 - 150,1575.0,0.0,A
282,Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,19,151,4.0,45990,32700,111 - 150,975.26,28.9,B
283,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03,0.0,A
284,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39,0.0,A
285,Daikin,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,56,387,4.2,71200,44990,111 - 150,756.78,36.8,C
286,Hitachi,Hitachi 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,1,4,5.0,72900,72900,111 - 150,813.13,0.0,A
287,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71,31.7,C
288,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6,32.5,C
289,Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 2 Ton 3 Star Split Inverter Xpandable plus Ambience...,3.0,2.0,217,2406,4.0,81100,81090,151 - 200,1397.61,0.0,A
290,Godrej,Godrej 2 Ton Split Inverter AC  - White,3.0,2.0,0,5,5.0,60999,40999,151 - 200,1208.31,32.8,C
291,Midea,"Midea 2023 Model 2 Ton 3 Star Split Inverter HD Filter with 2 Way Air Directional Control, Auto Cleans...",3.0,2.0,76,524,4.1,71290,41990,151 - 200,1249.82,41.1,C
292,SAMSUNG,"SAMSUNG 5 in 1 convertible cooling 1.5 Ton 3 Star Split Inverter AC  - White, Purple",3.0,1.5,81,804,4.2,57990,36990,111 - 150,1044.19,36.2,C
293,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98,39.8,C
294,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03,29.6,B
295,ONIDA,ONIDA 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,20,189,4.3,62490,62300,111 - 150,860.67,0.3,A
296,CARRIER,CARRIER 1.5 Ton 5 Star Window AC  - White,5.0,1.5,78,625,4.3,53990,52990,111 - 150,1178.19,1.9,A
297,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84,42.5,C
298,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48,42.6,C
299,SAMSUNG,SAMSUNG 1.5 Ton 3 Star Split AC  - White,3.0,1.5,10,157,4.3,52990,47777,111 - 150,1620.0,9.8,A
300,Hitachi,Hitachi Iconic wave design 2023 Model 1 Ton 3 Star Split Soft dry Silent Air Ambience Light R 32 AC  -...,3.0,1.0,23,242,4.1,46600,33499,90,706.76,28.1,B
301,ONIDA,ONIDA 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,539,3200,4.5,54990,29990,111 - 150,1027.12,45.5,D
302,MOTOROLA,MOTOROLA 2 Ton 3 Star Split Dual Inverter Smart AC with Wi-fi Connect  - Silver,3.0,2.0,100,627,4.4,60899,31999,151 - 200,1356.23,47.5,D
303,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14,0.0,A
304,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15,31.7,C
