,Brands,Model,BEE_Rating,Tons,Reviews_Count,Ratings_Count,Cust_Review,Original_Price,Current_Price,Room_Size,Annual_Power_Usage
187,Blue,Blue Star 1.5 Ton 4 Star Split Inverter AC  - White,4.0,1.5,1521,13889,4.2,69500,40990,111 - 150,2070.0
188,Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,13,135,4.0,62990,33549,111 - 150,998.42
189,Blue,"Blue Star 1.5 Ton 5 Star Split Inverter AC  - White, Brown",5.0,1.5,39,230,4.4,63000,47003,111 - 150,1450.0
190,MarQ,MarQ by Flipkart 1.5 Ton 3 Star Split AC  - White,3.0,1.5,1379,10559,4.2,44999,20999,111 - 150,1093.4
191,MarQ,MarQ by Flipkart 1 Ton 3 Star Split AC  - White,3.0,1.0,1379,10559,4.2,36999,17999,90,741.59
192,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14
193,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15
194,Lloyd,Lloyd 2023 Model 1.2 Ton 5 Star Split Inverter AC  - White,5.0,1.2,878,5312,4.2,62990,62890,91 - 110,635.62
195,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - W...,5.0,1.5,201,2298,4.0,78990,76990,111 - 150,749.48
196,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03
197,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39
198,Daikin,Daikin 1 Ton 3 Star Split AC with PM 2.5 Filter  - White,3.0,1.0,182,1862,4.1,46000,32990,90,656.44
199,Blue,Blue Star 2 Ton 3 Star Split Inverter AC  - White,3.0,2.0,2,11,4.0,72000,49999,151 - 200,1261.37
200,Voltas,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,0,12,2.9,77990,39990,111 - 150,759.07
201,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
202,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6
203,SAMSUNG,SAMSUNG 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,0,10,4.2,69999,69999,111 - 150,977.8
204,LG,LG 1.5 Ton 5 Star Split Dual Inverter AC with Wi-fi Connect  - White,5.0,1.5,14,102,4.2,77990,46990,111 - 150,818.81
205,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98
206,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03
207,Hitachi,Hitachi 1.5 Ton 3 Star Split Inverter Hot and Cold AC  - White,3.0,1.5,0,3,4.3,63300,44999,111 - 150,1040.2
208,Voltas,Voltas 1 Ton 5 Star Split Inverter AC  - White,5.0,1.0,11,97,3.7,63990,35140,90,542.35
209,SAMSUNG,SAMSUNG 2 Ton 4 Star Split Inverter AC  - White,4.0,2.0,0,6,3.2,77990,56990,151 - 200,880.0
210,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14
211,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15
212,Lloyd,Lloyd 2023 Model 1.5 Ton 5 Star Window AC  - White,5.0,1.5,4,26,4.3,54990,34299,111 - 150,1072.14
213,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03
214,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39
215,CARRIER,CARRIER 2023 Model HD Filteration 1.5 Ton 3 Star Split AI Flexicool Inverter With Auto Cleanser AC  - ...,3.0,1.5,24,121,4.2,69990,38999,111 - 150,1575.0
216,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter Wind Free AC with Wi-fi Conn...,3.0,1.0,81,804,4.2,58990,56990,90,624.48
217,Daikin,Daikin 1.5 Ton 3 Star Window AC  - White,3.0,1.5,27,229,4.2,35000,30999,111 - 150,1265.0
218,Lloyd,Lloyd 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,5.0,1.0,2,66,4.2,58990,57990,90,533.89
219,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
220,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6
221,Haier,"Haier UVC Sterilization 2023 Model 1.6 Ton 5 Star Split Inverter Frost Self-clean technology, Superson...",5.0,1.6,0,7,4.1,79990,52499,151 - 200,828.37
222,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.2 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.2,1521,13889,4.2,57500,54500,91 - 110,865.48
223,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03
224,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98
225,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - W...,3.0,1.5,201,2298,4.0,66990,64990,111 - 150,977.8
226,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,313,3616,4.1,77990,75990,111 - 150,749.48
227,Lloyd,Lloyd 2023 Model 1.5 Ton 2 Star Split AC  - White,2.0,1.5,20,160,4.1,59990,59890,111 - 150,1114.71
228,Daikin,Daikin 1 Ton 5 Star Split Inverter AC  - White,5.0,1.0,2,30,3.8,55500,38500,90,523.54
229,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84
230,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48
231,Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 1 Ton 3 Star Split Inverter Xpandable plus Ambience...,3.0,1.0,4,60,3.8,55050,55050,90,669.16
232,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,32990,111 - 150,883.14
233,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15
234,MarQ,MarQ by Flipkart 1 Ton 3 Star Split AC  - White,3.0,1.0,1379,10559,4.2,36999,17999,90,741.59
235,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter i-sense Technology with Blu...,3.0,1.5,403,4378,4.1,46900,30990,111 - 150,980.37
236,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,28990,90,694.03
237,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
238,MarQ,MarQ by Flipkart 1.5 Ton 3 Star Split AC  - White,3.0,1.5,1379,10559,4.2,44999,20999,111 - 150,1093.4
239,Blue,Blue Star 2 Ton 3 Star Split Inverter AC  - White,3.0,2.0,2,11,4.0,72000,49999,151 - 200,1261.37
240,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48900,32990,90,524.03
241,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6
242,Lloyd,Lloyd 2023 Model 1 Ton 3 Star Split AC  - White,3.0,1.0,5,45,4.1,49990,30799,90,709.86
243,realme,realme TechLife 4-in-1 Convertible 2023 Range with Flexi-Control Technology 1.2 Ton 4 Star Split Inver...,4.0,1.2,416,2835,4.2,52999,52999,91 - 110,1230.0
244,Daikin,Daikin 2.02 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,3.0,2.02,0,11,4.7,86800,59990,151 - 200,1372.85
245,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 0.9 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,0.9,1521,13889,4.2,45000,30999,90,644.46
246,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,36990,111 - 150,744.39
247,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98
248,LG,"LG Super Convertible 5-in-1 Cooling, 2023 Model 1.2 Ton 3 Star Split Inverter HD Filter with Anti-Viru...",3.0,1.2,2889,28367,4.2,68990,33999,91 - 110,849.1
249,LG,LG 1.5 Ton 5 Star Window Smart AC with Wi-fi Connect  - White,5.0,1.5,479,4346,4.2,48990,37999,111 - 150,1106.26
250,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84
251,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48
252,Whirlpool,Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,1,22,4.2,45000,32409,111 - 150,0.0
253,Voltas,Voltas 2 in 1 Convertible Cooling 1.2 Ton 3 Star Split Inverter Expandable AC  - White,3.0,1.2,1713,19291,4.2,54990,26366,91 - 110,1700.0
254,MarQ,MarQ by Flipkart 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,1946,13805,4.3,39999,26499,90,725.03
255,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,32990,111 - 150,883.14
256,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15
257,CARRIER,CARRIER Convertible 4-in-1 Cooling 2023 Model 1 Ton 3 Star Split AI Flexicool Inverter Dual Filtration...,3.0,1.0,1033,10378,4.1,56990,30999,90,704.46
258,SAMSUNG,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,2385,24309,4.2,57990,37999,111 - 150,1435.0
259,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,28990,90,694.03
260,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
261,Panasonic,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,146,1122,4.2,53900,35489,111 - 150,743.96
262,Panasonic,Panasonic 1.5 Ton 5 Star Window Inverter AC  - White,5.0,1.5,0,6,3.7,49900,37590,111 - 150,1086.41
263,Haier,"Haier UVC Sterilization 2023 Model 1.6 Ton 5 Star Split Inverter Frost Self-clean technology, Superson...",5.0,1.6,0,7,4.1,79990,52499,151 - 200,828.37
264,realme,realme TechLife 2023 Model 1.5 Ton 5 Star Split Inverter Smart AC with Wi-fi Connect  - White,5.0,1.5,28,164,4.4,65999,65999,111 - 150,770.08
265,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48900,32990,90,524.03
266,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6
267,Hitachi,Hitachi 1.5 Ton 3 Star Split Inverter Hot and Cold AC  - White,3.0,1.5,0,3,4.3,63300,44999,111 - 150,1040.2
268,Godrej,Godrej 4-Way Air Swing 1.5 Ton 3 Star Split with Anti-Dust Filter AC  - White,3.0,1.5,19,163,4.2,47990,32478,111 - 150,1045.04
269,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,36990,111 - 150,744.39
270,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98
271,Hitachi,Hitachi 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,4,19,3.4,48200,29299,90,688.96
272,LG,"LG AI Convertible 6-in-1 Cooling 2023 Model 2 Ton 3 Star Split Inverter 4 Way Swing, HD Filter with An...",3.0,2.0,2889,28367,4.2,85990,52999,151 - 200,1232.78
273,MarQ,MarQ by Flipkart 1.5 Ton 5 Star Split Dual Inverter Smart AC with Wi-fi Connect  - White,5.0,1.5,39,335,4.4,56999,31415,111 - 150,1118.0
274,LG,LG 2023 Model 1.5 Ton 3 Star Window Inverter AC with Wi-fi Connect  - White,3.0,1.5,479,4346,4.2,65990,34999,111 - 150,1115.04
275,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84
276,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48
277,Panasonic,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,5.0,1.5,78,638,4.1,76900,52490,111 - 150,774.19
278,Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,1,19,3.9,67990,36990,111 - 150,1017.95
279,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14
280,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15
281,Hitachi,Hitachi 1.5 Ton 5 Star Window AC  - White,5.0,1.5,457,4311,4.1,34790,34790,111 - 150,1575.0
282,Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,19,151,4.0,45990,32700,111 - 150,975.26
283,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03
284,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39
285,Daikin,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,56,387,4.2,71200,44990,111 - 150,756.78
286,Hitachi,Hitachi 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,1,4,5.0,72900,72900,111 - 150,813.13
287,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
288,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6
289,Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 2 Ton 3 Star Split Inverter Xpandable plus Ambience...,3.0,2.0,217,2406,4.0,81100,81090,151 - 200,1397.61
290,Godrej,Godrej 2 Ton Split Inverter AC  - White,3.0,2.0,0,5,5.0,60999,40999,151 - 200,1208.31
291,Midea,"Midea 2023 Model 2 Ton 3 Star Split Inverter HD Filter with 2 Way Air Directional Control, Auto Cleans...",3.0,2.0,76,524,4.1,71290,41990,151 - 200,1249.82
292,SAMSUNG,"SAMSUNG 5 in 1 convertible cooling 1.5 Ton 3 Star Split Inverter AC  - White, Purple",3.0,1.5,81,804,4.2,57990,36990,111 - 150,1044.19
293,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98
294,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03
295,ONIDA,ONIDA 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,20,189,4.3,62490,62300,111 - 150,860.67
296,CARRIER,CARRIER 1.5 Ton 5 Star Window AC  - White,5.0,1.5,78,625,4.3,53990,52990,111 - 150,1178.19
297,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84
298,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48
299,SAMSUNG,SAMSUNG 1.5 Ton 3 Star Split AC  - White,3.0,1.5,10,157,4.3,52990,47777,111 - 150,1620.0
300,Hitachi,Hitachi Iconic wave design 2023 Model 1 Ton 3 Star Split Soft dry Silent Air Ambience Light R 32 AC  -...,3.0,1.0,23,242,4.1,46600,33499,90,706.76
301,ONIDA,ONIDA 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,539,3200,4.5,54990,29990,111 - 150,1027.12
302,MOTOROLA,MOTOROLA 2 Ton 3 Star Split Dual Inverter Smart AC with Wi-fi Connect  - Silver,3.0,2.0,100,627,4.4,60899,31999,151 - 200,1356.23
303,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14
304,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15
305,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03
306,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39
307,Blue,Blue Star 2023 Model 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,3.0,1.0,1,7,4.9,52500,33290,90,704.42
308,Voltas,Voltas 1.5 Ton 4 Star Split Inverter AC  - White,4.0,1.5,1713,19291,4.2,69990,37730,111 - 150,945.28
309,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
310,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6
311,IFB,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.5 Ton 3 Star Split Inverter 7 Stage Air Treatmen...",3.0,1.5,116,944,4.2,51990,38490,111 - 150,1005.73
312,Lloyd,Lloyd 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,3.0,1.5,151,840,4.2,61990,41809,111 - 150,1002.76
313,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98
314,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03
315,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Wind Free AC with Wi-fi Co...,5.0,1.5,81,804,4.2,75990,74899,111 - 150,749.48
316,Daikin,Daikin 1.5 Ton 3 Star Hot and Cold Split Inverter AC  - White,3.0,1.5,3,65,3.9,59800,42490,111 - 150,881.05
317,LG,"LG Super Convertible 6-in-1 Cooling 1 Ton 5 Star Split Inverter AI, 4 Way Swing, HD Filter with Anti-V...",5.0,1.0,2889,28367,4.2,62990,43322,90,571.99
318,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,32990,111 - 150,883.14
319,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15
320,Hitachi,Hitachi 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,1,4,5.0,72900,72900,111 - 150,813.13
321,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,28990,90,694.03
322,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
323,SAMSUNG,SAMSUNG Convertible 2 Ton 3 Star Split Inverter AC  - White,3.0,2.0,63,747,4.2,77990,45999,151 - 200,1145.22
324,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48900,32990,90,524.03
325,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6
326,Hitachi,Hitachi 1.5 Ton 5 Star Window AC  - White,5.0,1.5,457,4311,4.1,34790,34790,111 - 150,1575.0
327,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,36990,111 - 150,744.39
328,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98
329,Hitachi,Hitachi 1.5 Ton 5 Star Split Inverter Expandable AC  - Gold,5.0,1.5,307,3144,4.0,60500,60500,111 - 150,530.44
330,Hitachi,Hitachi 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,1,23,3.8,52700,35680,111 - 150,1115.0
331,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84
332,Blue,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,3.0,1.3,1521,13889,4.2,57500,32990,111 - 150,865.48
333,Voltas,Voltas 2 Ton Split Inverter AC  - White,4.0,2.0,0,4,4.3,79990,46450,151 - 200,1098.96
334,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14
335,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15
336,LG,"LG Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 4 Star Split Inverter 4 Way Swing, HD Filter with Ant...",4.0,1.5,2889,28367,4.2,81990,78990,111 - 150,837.55
337,SAMSUNG,SAMSUNG 1.5 Ton 5 Star Split AC with Wi-fi Connect  - White,5.0,1.5,1,3,3.7,72990,43570,111 - 150,1365.0
338,Haier,Haier 1.6 Ton 5 Star Split Inverter AC  - White,5.0,1.6,1,6,3.2,72490,53999,151 - 200,880.3
339,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03
340,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39
341,Lloyd,Lloyd 1.5 Ton 3 Star Split AC  - White,3.0,1.5,111,762,4.2,52990,35789,111 - 150,1490.0
342,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
343,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6
344,Voltas,Voltas 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,1,16,3.9,55990,31290,90,700.57
345,Hitachi,Hitachi 2023 Model 1.5 Ton 3 Star Window AC  - White,3.0,1.5,457,4311,4.1,35600,30249,111 - 150,1161.16
346,Blue,Blue Star 2023 Model 1.5 Ton 5 Star Window AC  - White,5.0,1.5,131,1312,4.1,44500,34949,111 - 150,1045.04
347,Sansui,Sansui Activated Carbon Filter 1.5 Ton 5 Star Split Dual Inverter Smart AC with Wi-fi Connect  - White,5.0,1.5,25,183,4.1,59999,31500,111 - 150,865.7
