,Brands,Model,BEE_Rating,Tons,Reviews_Count,Ratings_Count,Cust_Review,Original_Price,Current_Price,Room_Size,Annual_Power_Usage
64,Panasonic,Panasonic Convertible 7-in-1 with Additional AI Mode Hot & Cold 2023 Model 1.5 Ton 3 Star Split Invert...,3.0,1.5,50,426,4.1,61400,41490,111 - 150,972.89
65,CARRIER,CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White,3.0,0.8,1033,10378,4.1,55690,26999,90,526.03
66,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,36990,111 - 150,744.39
67,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",5.0,1.5,1521,13889,4.2,73000,43980,111 - 150,770.98
68,Voltas,Voltas 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,244,2635,4.1,75990,40110,111 - 150,759.07
69,SAMSUNG,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - W...,5.0,1.5,201,2298,4.0,73990,43999,111 - 150,749.48
70,Blue,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",3.0,1.5,384,4478,4.1,62250,35799,111 - 150,1002.84
71,Blue,Blue Star 1.5 Ton 4 Star Split Inverter AC  - White,4.0,1.5,1521,13889,4.2,69500,40990,111 - 150,2070.0
72,Haier,"Haier Frost Self-Clean 2023 Model 1 Ton 3 Star Split Inverter Intelli Convertible 7-in-1, Triple Inver...",3.0,1.0,0,10,3.7,60490,34990,90,694.49
73,Voltas,Voltas 1 Ton 3 Star Window AC  - White,3.0,1.0,11,123,4.1,35990,26349,90,774.11
74,Daikin,Daikin 1 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,5.0,1.0,1,4,4.0,67200,46740,90,418.52
75,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,49990,111 - 150,883.14
76,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15
77,CARRIER,CARRIER 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,19,255,4.2,69990,33749,111 - 150,964.1
78,Voltas,Voltas 2023 Model 2 Ton 5 Star Split Inverter AC  - White,5.0,2.0,1713,19291,4.2,93990,53999,151 - 200,959.19
79,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,42900,90,694.03
80,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,5.0,1.5,157,1090,4.1,54900,54900,111 - 150,744.39
81,Whirlpool,Whirlpool Convertible 4-in-1 Cooling 2023 Model 1 Ton 5 Star Split Inverter 6th Sense Technology AC  -...,5.0,1.0,558,6468,4.0,64200,64190,90,515.27
82,SAMSUNG,SAMSUNG 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,5.0,1.5,61,499,4.2,67990,38999,111 - 150,832.8
83,ONIDA,ONIDA 2023 Model 1 Ton 3 Star Split Inverter AC  - White,3.0,1.0,939,7988,4.3,40990,28900,90,696.69
84,Daikin,Daikin 2023 Model 1 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,3.0,1.0,354,3683,4.2,48200,48100,90,680.4
85,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
86,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6
87,Lloyd,Lloyd 2023 Model 2 Ton 5 Star Split Inverter AC  - White,5.0,2.0,878,5312,4.2,86900,57990,151 - 200,970.29
88,realme,"realme TechLife 4-in-1 Convertible 1.5 Ton 4 Star Split Inverter , AC  - White",4.0,1.5,310,2033,4.1,52999,30999,111 - 150,968.61
89,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48990,34490,90,524.03
